사례ID,실행 연월,기관,자금명,실행 금액(만원),금리,상환 조건,지역(시도),업종,사업 형태,업력(년),신용점수 구간,연매출 구간,폐업 이력,체납 이력,기존 정책자금,동시 진행 자금,소요일,한 줄 메모,증빙 파일,사이트 공개
2026-10,2026-08,소상공인시장진흥공단,혁신성장촉진자금(운전),1500,연 4.39%,"분할상환, 거치 24개월",경북,카페·베이커리,개인,4.4,700점대,5천만원 미만,재창업,없음,없음,재단,14,,,
2026-01,2026-07,중소벤처기업진흥공단,혁신창업사업화자금,15500,연 2.74%,"분할상환, 거치 12개월",경기,의료기기 제조업,법인,9.5,700점대,10억~30억,없음,없음,없음,,59,,,
2026-02,2026-07,기술보증기금,청년창업 스마트보증,26000,연 2.93%,보증서대출 이자만 납부 방식,울산,소프트웨어 개발,법인,7.5,700점대,50억원 이상,없음,없음,있음,신보,42,,,
E84,2026-07,신용보증기금,스케일업 보증부 대출,10500,연 3.32%,보증서대출 이자만 납부 방식,충남,화장품 제조·수출,법인,9.6,700점대,10억~30억,없음,없음,있음,,35,,,
2026-04,2026-07,기술보증기금,기보 보증부 대출,14000,연 3.21%,보증서대출 이자만 납부 방식,경기,친환경 패키징 제조,법인,4.8,700점대,50억원 이상,없음,없음,없음,중진공,55,,,
2026-05,2026-07,중소벤처기업진흥공단,혁신창업사업화자금,18500,연 2.85%,"거치 24개월, 분할상환",경기,전자기기 제조,법인,7.6,900점대,10억~30억,없음,없음,있음,,47,,,
2026-06,2026-07,지역신용보증재단,보증부 대출,5000,연 3.17%,"분할상환, 거치 12개월",경북,온라인 이커머스,개인,2.1,900점대,5천만원 미만,없음,없음,없음,,11,,,
2026-07,2026-07,중소벤처기업진흥공단,혁신창업사업화자금,14000,연 2.67%,"거치 24개월, 분할상환",경남,로봇 자동화 설비,법인,8.8,700점대,3억~5억,없음,없음,없음,,47,,,
2026-08,2026-07,대전신용보증재단,대전 소상공인 특례보증 대출,2500,연 2.78%,"분할상환, 거치 24개월",대전,건설·인테리어,개인,9.7,600점대,1억 미만,없음,없음,있음,재단,26,,,
E68,2026-07,기술보증기금,기보 우수R&D 기술보증 대출,16500,연 2.85%,보증서대출 이자만 납부 방식,인천,2차전지 부품제조,법인,5.1,700점대,50억원 이상,없음,없음,있음,,49,,,
2026-10,2026-07,광주신용보증재단,광주 소상공인 특례보증 대출,3000,연 3.5%,"분할상환, 거치 24개월",광주,도소매업,개인,2.6,900점대,5천만원 미만,없음,없음,없음,재단,20,,,
E10,2026-06,기술보증기금,기보 우수R&D 기술보증 대출,14000,연 3.23%,보증서대출 이자만 납부 방식,경기,소프트웨어 개발,법인,14.1,700점대,10억~30억,없음,없음,없음,신보,35,,,
2026-02,2026-06,중소벤처기업진흥공단,투융자복합금융자금,15500,연 3.43%,"거치 24개월, 분할상환",인천,2차전지 부품제조,법인,2.2,700점대,3억~5억,없음,없음,있음,신보,44,,,
2026-03,2026-06,대전신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5000,연 3.23%,"분할상환, 거치 24개월",대전,전문 음식점업,개인,1.2,900점대,1억 미만,없음,없음,있음,,14,,,
2026-04,2026-06,신용보증기금,스케일업 보증부 대출,22000,연 3.74%,보증서대출 이자만 납부 방식,경기,반도체 장비 제조,개인,3,900점대,10억~30억,없음,없음,없음,기보,41,,,
2026-05,2026-06,신용보증기금,신보 보증부 대출 (일반성장),17000,연 3.29%,보증서대출 이자만 납부 방식,울산,가공식품 유통,법인,6.6,900점대,50억원 이상,없음,없음,있음,기보,33,,,
2026-06,2026-06,기술보증기금,기보 보증부 대출,23000,연 3.44%,보증서대출 이자만 납부 방식,경기,온라인 B2B 플랫폼,법인,5.5,900점대,10억~30억,없음,없음,없음,,45,,,
2026-07,2026-06,인천신용보증재단,인천 소상공인 특례보증 대출,3000,연 2.54%,"분할상환, 거치 12개월",인천,건설·인테리어,개인,4.2,800점대,3천만원 미만,재창업,없음,없음,재단,27,,,
2026-08,2026-06,기술보증기금,기보 보증부 대출,16500,연 3.26%,보증서대출 이자만 납부 방식,서울,친환경 패키징 제조,개인,9.8,800점대,50억원 이상,없음,없음,없음,,49,,,
E15,2026-06,신용보증기금,수출중소기업 특례보증,14500,연 3.14%,보증서대출 이자만 납부 방식,대전,정밀기계 제조업,개인,14,900점대,10억~30억,없음,없음,없음,,49,,,
E80,2026-06,신용보증기금,신보 보증부 대출 (일반성장),15500,연 3.56%,보증서대출 이자만 납부 방식,서울,친환경 패키징 제조,법인,7.2,800점대,10억~30억,없음,없음,없음,,49,,,
E9,2026-05,서울신용보증기금,신보 보증부 대출 1억 1천만,11000,연 3.74,보증서대출 이자만 납부 방식,서울,건축자재 도소매,개인,4,700점대,6억원 미만,없음,없음,없음,,90,오랜시간이 걸렸지만 믿고 맡겨주셔서 끝까지 책임지고 도와드렸습니다.,,Y
2026-01,2026-05,기술보증기금,기보 보증부 대출,22000,연 3.24%,보증서대출 이자만 납부 방식,충남,정밀기계 제조업,법인,4.7,900점대,50억원 이상,없음,없음,없음,,44,,,
2026-02,2026-05,신용보증기금,스케일업 보증부 대출,12000,연 3.69%,보증서대출 이자만 납부 방식,경북,섬유·의류 제조업,법인,10.2,800점대,5억~10억,없음,없음,없음,기보,34,,,
2026-03,2026-05,기술보증기금,청년창업 스마트보증,27500,연 3.48%,보증서대출 이자만 납부 방식,서울,2차전지 부품제조,법인,13.5,900점대,10억~30억,없음,없음,없음,,42,,,
2026-04,2026-05,지역신용보증재단,보증부 대출,3000,연 2.76%,"분할상환, 거치 24개월",서울,식품 제조·가공업,개인,4.8,700점대,3천만원 미만,재창업,없음,있음,재단,26,,,
E77,2026-05,신용보증기금,스케일업 보증부 대출,23500,연 3.83%,보증서대출 이자만 납부 방식,강원,반도체 장비 제조,법인,13.8,800점대,10억~30억,재창업,없음,없음,지자체 이차보전,35,,,
2026-06,2026-05,신용보증기금,스케일업 보증부 대출,24500,연 3.32%,보증서대출 이자만 납부 방식,울산,2차전지 부품제조,개인,5.7,800점대,30억~50억,없음,없음,있음,기보,32,,,
2026-07,2026-05,서울신용보증재단,보증부 대출,4000,연 3.0%,"분할상환, 거치 24개월",서울,생활용품 도소매,개인,4.3,700점대,1억~3억원,재창업,없음,있음,재단,25,,,
2026-08,2026-05,신용보증기금,스케일업 보증부 대출,18500,연 3.58%,보증서대출 이자만 납부 방식,서울,바이오 소재,법인,9.8,700점대,50억원 이상,없음,없음,없음,,43,,,
2026-09,2026-05,신용보증기금,스케일업 보증부 대출,12000,연 3.86%,보증서대출 이자만 납부 방식,경기,물류·운송업,법인,8.9,800점대,5억~10억,없음,없음,없음,기보,42,,,
2026-10,2026-05,신용보증기금,유망창업기업 Start-up 보증,13000,연 3.51%,보증서대출 이자만 납부 방식,경기,건축자재 도소매,법인,6.9,800점대,30억~50억,없음,없음,없음,,45,,,
2026-01,2026-04,소상공인시장진흥공단,재도전특별자금(창업),1000,연 4.87%,"분할상환, 거치 24개월",경기,전문 음식점업,개인,3.8,600점대,5천만원 미만,재창업,없음,있음,재단,22,,,
2026-02,2026-04,기술보증기금,벤처·이노비즈 특례보증,23500,연 3.36%,보증서대출 이자만 납부 방식,경북,바이오 소재,법인,9.9,900점대,50억원 이상,없음,없음,있음,중진공,39,,,
2026-03,2026-04,기술보증기금,기보 보증부 대출,27000,연 3.34%,보증서대출 이자만 납부 방식,경남,전자기기 제조,법인,11.3,700점대,50억원 이상,없음,없음,있음,,52,,,
2026-04,2026-04,소상공인시장진흥공단,신용취약소상공인자금(소상공인 정책자금 직접대출),1000,연 4.11%,"분할상환, 거치 24개월",충남,온라인 이커머스,개인,3.4,600점대,1억 미만,재창업,없음,없음,,20,,,
2026-05,2026-04,신용보증기금,스케일업 보증부 대출,11500,연 3.49%,보증서대출 이자만 납부 방식,경기,바이오 소재,법인,10.5,900점대,50억원 이상,재창업,없음,없음,지자체 이차보전,38,,,
2026-06,2026-04,지역신용보증재단,경기 소상공인 특례보증 대출,4500,연 3.35%,"분할상환, 거치 12개월",경기,온라인 이커머스,개인,3.6,900점대,1억 미만,없음,없음,없음,소진공,21,,,
2026-07,2026-04,신용보증기금,유망창업기업 Start-up 보증,22000,연 3.11%,보증서대출 이자만 납부 방식,경기,가공식품 유통,개인,11.4,800점대,10억~30억,재창업,없음,없음,,28,,,
2026-08,2026-04,신용보증기금,수출중소기업 특례보증,15500,연 3.7%,보증서대출 이자만 납부 방식,경북,건축자재 도소매,법인,8.9,800점대,30억~50억,없음,없음,없음,지자체 이차보전,37,,,
2026-09,2026-04,기술보증기금,벤처·이노비즈 특례보증,20500,연 2.9%,보증서대출 이자만 납부 방식,서울,소프트웨어 개발,법인,11,700점대,10억~30억,없음,없음,없음,신보,53,,,
2026-10,2026-04,부산신용보증재단,보증부 대출,3500,연 2.84%,"분할상환, 거치 12개월",부산,교육 서비스업,개인,3.2,700점대,1억 미만,없음,없음,있음,,14,,,
2026-01,2026-03,기술보증기금,기보 보증부 대출 (시설/운전),90000,연 2.85%,보증서대출 이자만 납부 방식,경기,섬유·원단 가공 제조업,법인,8.5,800점대,50억원 이상,없음,없음,있음,중진공,42,,,
2026-02,2026-03,기술보증기금,기보 보증부 대출,24500,연 3.18%,보증서대출 이자만 납부 방식,경기,바이오 소재,법인,2.7,800점대,10억~30억,없음,없음,있음,,45,,,
2026-03,2026-03,중소벤처기업진흥공단,혁신창업사업화자금,11500,연 3.31%,거치식 원금균등분할,인천,친환경 패키징 제조,개인,3.2,900점대,5억~10억,없음,없음,있음,,49,,,
E39,2026-03,소상공인시장진흥공단,소공인특화자금,1000,연 4.57%,"거치식 원금균등분할, 납입주기 1개월",경기,카페·베이커리,개인,4.7,600점대,5천만원 미만,없음,없음,있음,재단,29,,,
2026-05,2026-03,기술보증기금,기보 우수R&D 기술보증 대출,23000,연 3.16%,보증서대출 이자만 납부 방식,충남,AI 솔루션,법인,2.4,800점대,50억원 이상,없음,없음,없음,,32,,,
2026-06,2026-03,소상공인시장진흥공단,재도전특별자금(창업),1000,연 4.45%,"거치식 원금균등분할, 납입주기 1개월",서울,교육 서비스업,개인,4.6,600점대,3천만원 미만,재창업,없음,있음,,32,,,
2026-07,2026-03,중소벤처기업진흥공단,투융자복합금융자금,14500,연 3.0%,"거치식 원금균등분할, 납입주기 1개월",서울,로봇 자동화 설비,법인,6.4,800점대,10억~30억,없음,없음,없음,신보,35,,,
2026-08,2026-03,소상공인시장진흥공단,신용취약소상공인자금(소상공인 정책자금 직접대출),2500,연 4.51%,"분할상환, 거치 24개월",전북,교육 서비스업,개인,2.5,800점대,1억~3억원,없음,없음,있음,,45,,,
E61,2026-03,신용보증기금,유망창업기업 Start-up 보증,16500,연 3.7%,보증서대출 이자만 납부 방식,부산,로봇 자동화 설비,개인,7.4,800점대,30억~50억,재창업,없음,있음,,30,,,
2026-10,2026-03,신용보증기금,스케일업 보증부 대출,21000,연 3.84%,보증서대출 이자만 납부 방식,서울,금속 가공업,법인,9.1,800점대,5억~10억,없음,없음,없음,,48,,,
2026-01,2026-02,기술보증기금,기보 보증부 대출,26000,연 2.9%,보증서대출 이자만 납부 방식,인천,친환경 패키징 제조,법인,11.1,700점대,10억~30억,없음,없음,있음,중진공,39,,,
2026-02,2026-02,중소벤처기업진흥공단,혁신창업사업화자금,10500,연 2.96%,거치식 원금균등분할,인천,2차전지 부품제조,법인,2.4,900점대,5억~10억,없음,없음,없음,,61,,,
2026-03,2026-02,중소벤처기업진흥공단,제조 스마트화 설비자금,18000,연 2.69%,거치식 원금균등분할,울산,화장품 제조·수출,법인,8.9,700점대,5억~10억,없음,없음,없음,신보,64,,,
2026-04,2026-02,신용보증기금,신보 보증부 대출 (일반성장),15500,연 3.75%,보증서대출 이자만 납부 방식,충남,로봇 자동화 설비,법인,15,800점대,10억~30억,재창업,없음,없음,지자체 이차보전,38,,,
2026-05,2026-02,중소벤처기업진흥공단,제조 스마트화 설비자금,13000,연 3.48%,"분할상환, 거치 12개월",부산,의료기기 제조업,법인,3.1,800점대,3억~5억,없음,없음,없음,,57,,,
E49,2026-02,신용보증기금,수출중소기업 특례보증,20500,연 3.97%,보증서대출 이자만 납부 방식,인천,물류·운송업,법인,9.7,700점대,50억원 이상,없음,없음,없음,,32,,,
2026-07,2026-02,지역신용보증재단,충남 소상공인 특례보증 대출,3500,연 3.43%,"분할상환, 거치 24개월",충남,온라인 이커머스,개인,6.6,800점대,1억~3억원,재창업,없음,없음,,29,,,
2026-08,2026-02,중소벤처기업진흥공단,투융자복합금융자금,10000,연 2.93%,거치식 원금균등분할,서울,2차전지 부품제조,법인,7.3,700점대,5억~10억,없음,없음,있음,신보,63,,,
2026-09,2026-02,신용보증기금,신보 보증부 대출 (일반성장),15500,연 3.42%,보증서대출 이자만 납부 방식,서울,정밀기계 제조업,개인,8.9,900점대,10억~30억,없음,없음,있음,,47,,,
2026-10,2026-02,중소벤처기업진흥공단,신성장기반자금,11500,연 2.73%,"거치식 원금균등분할, 납입주기 1개월",인천,물류·운송업,개인,3.3,700점대,5억~10억,없음,없음,없음,기보,37,,,
2026-01,2026-01,신용보증기금,유망창업기업 Start-up 보증,24500,연 3.97%,보증서대출 이자만 납부 방식,경기,바이오 소재,개인,13,700점대,50억원 이상,재창업,없음,있음,기보,40,,,
2026-02,2026-01,중소벤처기업진흥공단,투융자복합금융자금,18000,연 2.77%,"거치 24개월, 분할상환",대구,화장품 제조·수출,법인,8,700점대,10억~30억,없음,없음,없음,신보,59,,,
2026-03,2026-01,중소벤처기업진흥공단,투융자복합금융자금,13000,연 3.12%,거치식 원금균등분할,경기,물류·운송업,법인,7.9,900점대,3억~5억,없음,없음,있음,,44,,,
2026-04,2026-01,기술보증기금,기보 보증부 대출,15500,연 2.87%,보증서대출 이자만 납부 방식,대전,친환경 패키징 제조,법인,7.4,700점대,10억~30억,없음,없음,없음,신보,35,,,
2026-05,2026-01,충남신용보증재단,충남 소상공인 특례보증 대출,2000,연 3.2%,"분할상환, 거치 24개월",충남,카페·베이커리,개인,1.7,700점대,1억~3억원,없음,없음,없음,,22,,,
2026-06,2026-01,중소벤처기업진흥공단,제조 스마트화 설비자금,14500,연 3.08%,"분할상환, 거치 12개월",서울,건축자재 도소매,법인,4.3,900점대,3억~5억,없음,없음,없음,,54,,,
2026-07,2026-01,중소벤처기업진흥공단,신성장기반자금,19500,연 3.41%,"거치 24개월, 분할상환",서울,친환경 패키징 제조,법인,2.1,700점대,3억~5억,없음,없음,없음,,38,,,
2026-08,2026-01,소상공인시장진흥공단,재도전특별자금(창업),3500,연 4.15%,"거치식 원금균등분할, 납입주기 1개월",경기,식품 제조·가공업,개인,2.2,800점대,5천만원 미만,없음,없음,있음,,40,,,
E36,2026-01,기술보증기금,기보 보증부 대출,17000,연 3.15%,보증서대출 이자만 납부 방식,경기,의료기기 제조업,법인,3.3,900점대,30억~50억,없음,없음,없음,,42,,,
2026-10,2026-01,소상공인시장진흥공단,소공인특화자금,2000,연 4.62%,거치식 원금균등분할(48개월),부산,전문 음식점업,개인,0.4,700점대,5천만원 미만,재창업,없음,있음,,27,,,
2025-01,2025-12,인천신용보증재단,보증부 대출,3500,연 3.79%,"분할상환, 거치 12개월",인천,교육 서비스업,개인,9.9,800점대,5천만원 미만,없음,없음,있음,소진공,10,,,
2025-02,2025-12,경기신용보증재단,보증부 대출,3500,연 2.58%,"분할상환, 거치 12개월",경기,온라인 이커머스,개인,5.4,600점대,1억~3억원,재창업,없음,없음,,24,,,
2025-03,2025-12,소상공인시장진흥공단,신용취약소상공인자금(소상공인 정책자금 직접대출),4000,연 4.03%,"분할상환, 거치 24개월",경남,전문 음식점업,개인,0.5,700점대,1억~3억원,없음,없음,있음,,42,,,
2025-04,2025-12,기술보증기금,벤처·이노비즈 특례보증,14000,연 2.9%,보증서대출 이자만 납부 방식,전북,AI 솔루션,법인,9.1,800점대,30억~50억,없음,없음,없음,,46,,,
2025-05,2025-12,기술보증기금,기보 우수R&D 기술보증 대출,28500,연 3.32%,보증서대출 이자만 납부 방식,경북,소프트웨어 개발,법인,4.8,800점대,10억~30억,없음,없음,없음,신보,44,,,
2025-06,2025-12,광주신용보증재단,광주 소상공인 특례보증 대출,3500,연 3.93%,"분할상환, 거치 24개월",광주,생활용품 도소매,개인,1,600점대,3천만원 미만,재창업,없음,있음,,14,,,
2025-07,2025-12,중소벤처기업진흥공단,투융자복합금융자금,18500,연 2.85%,"거치 24개월, 분할상환",충북,물류·운송업,법인,4.8,900점대,3억~5억,없음,없음,없음,신보,46,,,
2025-08,2025-12,중소벤처기업진흥공단,신성장기반자금,14000,연 3.35%,"거치식 원금균등분할, 납입주기 1개월",경남,바이오 소재,법인,4.3,800점대,10억~30억,없음,없음,있음,,62,,,
2025-09,2025-12,서울신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5500,연 3.89%,"분할상환, 거치 12개월",서울,뷰티 서비스업,개인,0.6,800점대,1억 미만,재창업,없음,없음,,15,,,
2025-10,2025-12,중소벤처기업진흥공단,제조 스마트화 설비자금,11500,연 3.24%,"거치 24개월, 분할상환",경기,정밀기계 제조업,개인,5.8,800점대,5억~10억,없음,없음,없음,신보,40,,,
2025-01,2025-11,대구신용보증재단,지자체 소상공인 이차보전 특례보증 상품,1500,연 2.73%,"분할상환, 거치 12개월",대구,전문 음식점업,개인,6.8,800점대,1억~3억원,없음,없음,없음,재단,29,,,
2025-02,2025-11,신용보증기금,신보 보증부 대출 (일반성장),17000,연 3.49%,보증서대출 이자만 납부 방식,서울,섬유·의류 제조업,법인,9.7,900점대,30억~50억,없음,없음,있음,,47,,,
2025-03,2025-11,신용보증기금,수출중소기업 특례보증,11500,연 3.79%,보증서대출 이자만 납부 방식,서울,섬유·의류 제조업,법인,2.1,900점대,50억원 이상,없음,없음,있음,,45,,,
2025-04,2025-11,중소벤처기업진흥공단,투융자복합금융자금,18000,연 3.36%,"거치 24개월, 분할상환",부산,정밀기계 제조업,법인,5.1,700점대,5억~10억,없음,없음,없음,,57,,,
2025-05,2025-11,신용보증기금,스케일업 보증부 대출,8000,연 3.97%,보증서대출 이자만 납부 방식,경남,물류·운송업,법인,10,900점대,30억~50억,없음,없음,없음,,35,,,
2025-06,2025-11,중소벤처기업진흥공단,혁신창업사업화자금,15500,연 3.25%,"거치식 원금균등분할, 납입주기 1개월",충북,의료기기 제조업,개인,2.5,900점대,10억~30억,없음,없음,있음,기보,63,,,
2025-07,2025-11,신용보증기금,수출중소기업 특례보증,14000,연 3.19%,보증서대출 이자만 납부 방식,서울,섬유·의류 제조업,개인,9.8,900점대,5억~10억,없음,없음,없음,,46,,,
2025-08,2025-11,중소벤처기업진흥공단,투융자복합금융자금,11500,연 2.94%,"분할상환, 거치 12개월",경기,로봇 자동화 설비,법인,3.7,800점대,10억~30억,없음,없음,있음,신보,51,,,
2025-09,2025-11,중소벤처기업진흥공단,혁신창업사업화자금,17000,연 3.33%,"거치 24개월, 분할상환",부산,2차전지 부품제조,법인,9.8,700점대,10억~30억,없음,없음,없음,,53,,,
2025-10,2025-11,경기신용보증재단,경기 소상공인 특례보증 대출,3500,연 3.41%,"분할상환, 거치 12개월",경기,식품 제조·가공업,개인,1.8,600점대,1억~3억원,없음,없음,없음,,26,,,
2025-01,2025-10,기술보증기금,청년창업 스마트보증,23500,연 3.22%,보증서대출 이자만 납부 방식,부산,AI 솔루션,법인,6.8,800점대,30억~50억,없음,없음,없음,신보,51,,,
2025-02,2025-10,대구신용보증재단,보증부 대출,2000,연 3.34%,"분할상환, 거치 24개월",대구,온라인 이커머스,개인,3.1,700점대,1억 미만,없음,없음,있음,,19,,,
E90,2025-10,지역신용보증재단,지자체 소상공인 이차보전 특례보증 상품,3500,연 3.34%,"분할상환, 거치 12개월",대구,도소매업,개인,8.2,600점대,1억~3억원,없음,없음,없음,,21,,,
